query,intent
coffee close by,find_cafe
downtown coffee place,find_cafe
cafe near division street,find_cafe
best espresso in town,find_cafe
cappuccino nearby,find_cafe
latte place downtown,find_cafe
tea house close by,find_cafe
coffee and pastry spot,find_cafe
breakfast cafe near me,find_cafe
cozy cafe downtown,find_cafe
mexican restaurant,find_food
pizza place near me,find_food
italian takeaway food,find_food
sushi restaurant nearby,find_food
burger place downtown,find_food
thai restaurant close by,find_food
chinese food near me,find_food
indian restaurant downtown,find_food
vegan food nearby,find_food
bbq restaurant close by,find_food
nearest pharmacy,find_service
nearest hospital,find_service
atm close by,find_service
bank downtown,find_service
nearest dental clinic,find_service
doctor nearby,find_service
urgent care clinic,find_service
post office close by,find_service
veterinarian nearby,find_service
laundromat near me,find_service
grocery store near me,find_shop
clothing store downtown,find_shop
book shop close by,find_shop
hardware store close by,find_shop
shoe store near me,find_shop
tech shop in downtown,find_shop
furniture shop nearby,find_shop
pet store close by,find_shop
supermarket near me,find_shop
gift shop downtown,find_shop
accessible restaurant near me,find_food
disability friendly cafe,find_cafe
accessible bar nearby,find_cafe
restaurant with accessible entrance,find_food
disabled access cafe,find_cafe
accessible shop near me,find_shop
wheelchair friendly dentist,find_service
pharmacy with disabled access,find_service
drugstore close by,find_service
restaurant downtown,find_food
cafes downtown,find_cafe
morning cafe spot,find_cafe
bar nearby,find_cafe
grocery store,find_shop
sunday restaurant,find_food
late night food spot,find_food
breakfast cafe,find_cafe
supermarket nearby,find_shop
parking near downtown,find_transport
bus stop near me,find_transport
bicycle parking nearby,find_transport
car park close by,find_transport
downtown parking structure,find_transport
bike rack near me,find_transport
taxi nearby,find_transport
parking lot close by,find_transport
motorcycle parking near me,find_transport
public transport stop nearby,find_transport
nearest bank branch,find_service
nearest bank,find_service
bank close by,find_service
cash machine nearby,find_service
nearest atm,find_service
cash machine near me,find_service
hospital near me,find_service
clinic near me,find_service
pizza place nearby,find_food
pizza restaurant near me,find_food
pizza place downtown,find_food
burger near me,find_food
places to eat nearby,find_food
food place near me,find_food
bus stop nearby,find_transport
nearest bus stop,find_transport
bus station near me,find_transport
public transport near me,find_transport
train station nearby,find_transport
where can i grab a coffee,find_cafe
place to sit and work with laptop,find_cafe
i need my morning fix,find_cafe
somewhere to read and drink tea,find_cafe
good espresso place,find_cafe
quiet cafe to study,find_cafe
hipster coffee place,find_cafe
cafe with good wifi,find_cafe
brunch spot downtown,find_cafe
flat white near me,find_cafe
cortado coffee shop,find_cafe
pour over coffee portland,find_cafe
coffee and bagel place,find_cafe
late night coffee spot,find_cafe
outdoor seating cafe,find_cafe
cofee shop near me,find_cafe
caffee nearby,find_cafe
capuccino place downtown,find_cafe
coffe to go,find_cafe
expresso bar near me,find_cafe
need food asap,find_food
hungry where to eat,find_food
good lunch spot,find_food
dinner place for two,find_food
cheap eats downtown,find_food
late night food,find_food
best ramen in portland,find_food
place for a quick bite,find_food
something spicy to eat,find_food
comfort food near me,find_food
street food nearby,find_food
healthy food options,find_food
where to get sushi,find_food
kebab place near me,find_food
fish and chips nearby,find_food
resturant near me,find_food
restarant downtown,find_food
food places close by,find_food
somwhere to eat lunch,find_food
burrito place near me,find_food
need to pick up medicine,find_service
where can i find a doctor,find_service
emergency dental care,find_service
need stitches where to go,find_service
closest urgent care,find_service
find me a vet for my dog,find_service
where to send a package,find_service
need to withdraw cash,find_service
open a bank account nearby,find_service
nearest optometrist,find_service
blood test lab nearby,find_service
mental health clinic,find_service
physio near me,find_service
chiropractor downtown,find_service
where to get vaccinated,find_service
phramacy near me,find_service
hosptal nearby,find_service
dentit close by,find_service
docter near me,find_service
clinci near downtown,find_service
looking for a new outfit,find_shop
where to buy groceries,find_shop
need a new phone charger,find_shop
bookstore close by,find_shop
where to buy flowers,find_shop
pet supplies store,find_shop
sports equipment shop,find_shop
craft supply store nearby,find_shop
where to buy tools,find_shop
retro clothes shop,find_shop
thrift shop near me,find_shop
organic food store,find_shop
toy store nearby,find_shop
art supply shop,find_shop
where to buy a gift,find_shop
groccery store near me,find_shop
clothng store downtown,find_shop
supermarkt nearby,find_shop
shoe shop close by,find_shop
furnitur store near me,find_shop
need to park my car,find_transport
where can i lock my bike,find_transport
ev charging point nearby,find_transport
closest car wash,find_transport
rent a bicycle,find_transport
fuel station nearby,find_transport
car service garage,find_transport
where to park downtown,find_transport
motorbike parking,find_transport
bicycle repair nearby,find_transport
place to charge my electric car,find_transport
car parts store nearby,find_transport
where can i rent a car,find_transport
taxi stand near me,find_transport
vehicle inspection center,find_transport
parkng near me,find_transport
bycicle parking nearby,find_transport
car park close,find_transport
petrol station near me,find_transport
motercycle parking downtown,find_transport
restaurant i can get into with wheelchair,find_food
disabled parking near entrance,find_transport
wheelchair ramp restaurant,find_food
easy access pharmacy,find_service
mobility friendly cafe,find_cafe
accessible entrance bar,find_cafe
disabled friendly dentist,find_service
accessible route to restaurant,find_food
hospital with wheelchair access,find_service
wheelchair friendly grocery store,find_shop
accessible coffee shop,find_cafe
cafe with wheelchair access,find_cafe
dissabled friendly restaurant,find_food
acesible pharmacy nearby,find_service
