query,predicted_intent,confidence,true_intent,intent_correct,filter_type,categories,relevant_total,relevant_in_boost,boost_coverage,conf_bin
where can i get espresso,find_cafe,38.8,,,low_confidence_fallback,,242,0,0.0,<40% (low)
tacos near me,find_food,64.4,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",63,63,1.0,60-80%
find me a dentist,find_service,63.3,,,specific_override,['dentist'],145,145,1.0,60-80%
need a cashpoint,find_service,42.0,,,specific_override,['atm'],95,95,1.0,40-60%
emergency room nearby,find_service,30.4,,,specific_override,['hospital'],10,10,1.0,<40% (low)
where to park my car,find_transport,48.9,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",6395,6395,1.0,40-60%
place to lock my bike,find_transport,23.6,,,specific_override,['bicycle_parking'],3967,3967,1.0,<40% (low)
place for a haircut,find_food,29.5,,,specific_override,['hairdresser'],297,297,1.0,<40% (low)
coffee shop nearby,find_cafe,75.0,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
italian restaurant takeaway,find_food,64.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",2,2,1.0,60-80%
burger place near me,find_food,75.9,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",73,73,1.0,60-80%
vintage clothing store,find_shop,93.0,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",217,216,0.995,>80%
parking garage downtown,find_transport,60.7,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",6395,6395,1.0,60-80%
bicycle rental nearby,find_transport,39.3,,,specific_override,['bicycle_rental'],91,91,1.0,<40% (low)
ev charging station,find_transport,51.5,,,specific_override,['charging_station'],50,50,1.0,40-60%
car wash near me,find_transport,49.5,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",32,32,1.0,40-60%
car repair shop nearby,find_shop,52.7,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",226,226,1.0,40-60%
